input_value,input_matched_alias,entity_id,pathway_id,pathway_description,pathway_source_system,pathway_data_source,pathway_etl_package_id,entity_relationships_by_group,total_entity_relationships,other_aliases,status,note
R-HSA-8856828,R-HSA-8856828,126330,R-HSA-8856828,Clathrin-mediated endocytosis,Reactome,reactome,,,,['Clathrin-mediated endocytosis'],ok,
R-HSA-110331,R-HSA-110331,126331,R-HSA-110331,Cleavage of the damaged purine,Reactome,reactome,,,,['Cleavage of the damaged purine'],ok,
R-HSA-110329,R-HSA-110329,126332,R-HSA-110329,Cleavage of the damaged pyrimidine ,Reactome,reactome,,,,['Cleavage of the damaged pyrimidine'],ok,
R-HSA-9927353,R-HSA-9927353,126333,R-HSA-9927353,Co-inhibition by BTLA,Reactome,reactome,,,,['Co-inhibition by BTLA'],ok,
R-HSA-389513,R-HSA-389513,126334,R-HSA-389513,Co-inhibition by CTLA4,Reactome,reactome,,,,['Co-inhibition by CTLA4'],ok,
R-HSA-389948,R-HSA-389948,126335,R-HSA-389948,Co-inhibition by PD-1,Reactome,reactome,,,,['Co-inhibition by PD-1'],ok,
R-HSA-389356,R-HSA-389356,126336,R-HSA-389356,Co-stimulation by CD28,Reactome,reactome,,,,['Co-stimulation by CD28'],ok,
R-HSA-9927354,R-HSA-9927354,126337,R-HSA-9927354,Co-stimulation by ICOS,Reactome,reactome,,,,['Co-stimulation by ICOS'],ok,
R-HSA-9759218,R-HSA-9759218,126338,R-HSA-9759218,Cobalamin (Cbl) metabolism,Reactome,reactome,,,,['Cobalamin (Cbl) metabolism'],ok,
R-HSA-196741,R-HSA-196741,126339,R-HSA-196741,"Cobalamin (Cbl, vitamin B12) transport and metabolism",Reactome,reactome,,,,"['Cobalamin (Cbl, vitamin B12) transport and metabolism']",ok,
R-HSA-196783,R-HSA-196783,126340,R-HSA-196783,Coenzyme A biosynthesis,Reactome,reactome,,,,['Coenzyme A biosynthesis'],ok,
R-HSA-2470946,R-HSA-2470946,126341,R-HSA-2470946,Cohesin Loading onto Chromatin,Reactome,reactome,,,,['Cohesin Loading onto Chromatin'],ok,
R-HSA-1650814,R-HSA-1650814,126342,R-HSA-1650814,Collagen biosynthesis and modifying enzymes,Reactome,reactome,,,,['Collagen biosynthesis and modifying enzymes'],ok,
R-HSA-8948216,R-HSA-8948216,126343,R-HSA-8948216,Collagen chain trimerization,Reactome,reactome,,,,['Collagen chain trimerization'],ok,
