id,entity_id,hgnc_status,hgnc_id,entrez_id,ensembl_id,data_source_id,locus_group_id,locus_type_id
34288,34288,Approved,HGNC:49099,106480677.0,ENSG00000271465,1,3,3
34289,34289,Approved,HGNC:11281,10011.0,ENSG00000213523,1,1,1
34290,34290,Approved,HGNC:28339,149563.0,ENSG00000183888,1,1,1
34291,34291,Approved,HGNC:25521,55133.0,ENSG00000068784,1,1,1
34292,34292,Approved,HGNC:11283,6714.0,ENSG00000197122,1,1,1
34293,34293,Approved,HGNC:16974,10847.0,ENSG00000080603,1,1,1
34294,34294,Approved,HGNC:29506,80725.0,ENSG00000277363,1,1,1
34295,34295,Approved,HGNC:11284,6715.0,ENSG00000145545,1,1,1
34296,34296,Approved,HGNC:11286,6719.0,ENSG00000232549,1,3,3
34297,34297,Approved,HGNC:11285,6716.0,ENSG00000277893,1,1,1
34298,34298,Approved,HGNC:55160,118568808.0,ENSG00000230491,1,3,3
34299,34299,Approved,HGNC:25812,79644.0,ENSG00000128039,1,1,1
34300,34300,Approved,HGNC:44138,100506462.0,ENSG00000249700,1,2,2
34301,34301,Approved,HGNC:49243,390203.0,ENSG00000270929,1,3,3
34302,34302,Approved,HGNC:11289,6720.0,ENSG00000072310,1,1,1
34303,34303,Approved,HGNC:11290,6721.0,ENSG00000198911,1,1,1
34304,34304,Approved,HGNC:53953,112637020.0,ENSG00000184068,1,2,2
34305,34305,Approved,HGNC:17882,140890.0,ENSG00000153914,1,1,1
34306,34306,Approved,HGNC:26716,285672.0,ENSG00000153006,1,1,1
34307,34307,Approved,HGNC:54504,100288151.0,ENSG00000229336,1,3,3
34308,34308,Approved,HGNC:54505,115838655.0,ENSG00000271227,1,3,3
34309,34309,Approved,HGNC:11291,6722.0,ENSG00000112658,1,1,1
34310,34310,Approved,HGNC:26333,153443.0,ENSG00000151304,1,1,1
34311,34311,Approved,HGNC:17382,57522.0,ENSG00000196935,1,1,1
34312,34312,Approved,HGNC:19751,23380.0,ENSG00000266028,1,1,1
34313,34313,Approved,HGNC:40902,100873165.0,ENSG00000230806,1,2,2
34314,34314,Entry Withdrawn,HGNC:41454,,,1,2,2
34315,34315,Approved,HGNC:35237,647135.0,ENSG00000196369,1,1,1
34316,34316,Approved,HGNC:30584,653464.0,ENSG00000171943,1,1,1
34317,34317,Approved,HGNC:43932,100996712.0,ENSG00000270872,1,3,3
34318,34318,Approved,HGNC:19744,9901.0,ENSG00000196220,1,1,1
34319,34319,Approved,HGNC:40898,100874103.0,ENSG00000224808,1,2,2
34320,34320,Approved,HGNC:40899,101927416.0,ENSG00000228723,1,2,2
34321,34321,Approved,HGNC:40900,100288831.0,ENSG00000227929,1,2,2
34322,34322,Approved,HGNC:42434,101927440.0,ENSG00000235830,1,2,2
34323,34323,Approved,HGNC:9361,5552.0,ENSG00000122862,1,1,1
34324,34324,Approved,HGNC:49107,106480246.0,ENSG00000271386,1,3,3
34325,34325,Approved,HGNC:11292,6717.0,ENSG00000075142,1,1,1
34326,34326,Approved,HGNC:40564,102723885.0,ENSG00000254003,1,2,2
